OrderItemID,OrderID,ProductID,Price,Quantity,CustomerID,OrderDate,Count,TotalAmount,Status,RetailerID,Name,MainCategory,SubCategory,SKU,CreatedAt,Reviews,Ratings,CleanedReviews,Sentiment,neg,neu,pos,compound,Cluster
1361,682,2033,8.39,3,3216,2024-11-22 08:45:01,3,54.31,Delivered,63,Depurika Sharma Clothing New Born Baby Soft Velvet Fabric Musterd Seeds Rai Pillow for Baby Head Shaping Takiya Detachable...,home & kitchen,Bedroom Linen,SKU7002,2024-08-11 16:34:28.612620,"Very satisfied with the Depurika Sharma Clothing New Born Baby Soft Velvet Fabric Musterd Seeds Rai Pillow for Baby Head Shaping Takiya Detachable.... It exceeded my expectations in every way. High quality and durable, I’m extremely pleased with the performance!",5.0,satisfied depurika sharma clothing new born baby soft velvet fabric musterd seed rai pillow baby head shaping takiya detachable exceeded expectation every way high quality durable im extremely pleased performance,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.7178}",0.0,0.824,0.176,0.7178,2.0
1362,682,4843,11.99,2,3216,2024-11-22 08:45:01,3,54.31,Delivered,70,Cotton Villas 3D Printed Microfiber Green White Floweri Bedsheet for Double Bed with 2 Pillow Cover Microfiber and Cotton ...,home & kitchen,Bedroom Linen,SKU7126,2024-08-11 16:40:23.825744,"Had a great experience with the Cotton Villas 3D Printed Microfiber Green White Floweri Bedsheet for Double Bed with 2 Pillow Cover Microfiber and Cotton ..., from ordering to delivery, and the product quality is superb. I'm very happy and would highly recommend it!",4.0,great experience cotton villa printed microfiber green white floweri bedsheet double bed pillow cover microfiber cotton ordering delivery product quality superb im happy would highly recommend,"{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.9402}",0.0,0.6,0.4,0.9402,2.0
1363,682,4318,2.58,2,3216,2024-11-22 08:45:01,3,54.31,Delivered,9,Sunny New & Improved pH Balanced Arnica Shampoo For Soft  Lustrous & Healthy Hair | Cantharis Imparts Cool & Healthy Scalp...,beauty & health,Beauty & Grooming,SKU5269,2024-08-11 16:39:27.893427,"The Sunny New & Improved pH Balanced Arnica Shampoo For Soft  Lustrous & Healthy Hair | Cantharis Imparts Cool & Healthy Scalp... is okay. It does the job but doesn't stand out in any particular way. I'm not sure if I would purchase it again, but it serves its purpose.",3.0,sunny new improved ph balanced arnica shampoo soft lustrous healthy hair cantharis imparts cool healthy scalp okay job doesnt stand particular way im sure would purchase serf purpose,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.9413}",0.0,0.541,0.459,0.9413,2.0
1364,683,4579,19.19,4,372,2024-02-22 11:21:37,1,76.76,Shipped,76,Shopnet Wireless Bluetooth Speaker TG113 For Acer Liquid mini E310  Acer Liquid mini E 310   Acer Iconia One 8 B1-820  Ace...,tv  audio & cameras,Speakers,SKU5132,2024-08-11 16:39:59.798595,,,,,,,,,
1365,684,7229,11.99,2,1754,2024-04-12 20:40:42,3,70.66,In Transit,85,Sobo WP-1880F Top Filter,pet supplies,All Pet Supplies,SKU6146,2024-08-11 16:47:54.687517,,,,,,,,,
1366,684,6651,17.88,1,1754,2024-04-12 20:40:42,3,70.66,In Transit,46,Mochi Womens Synthetic Tan Slip Ons (Size (5 UK (38 EU)),women's shoes,Fashion Sandals,SKU6582,2024-08-11 16:46:17.660812,,,,,,,,,
1367,684,9159,7.2,4,1754,2024-04-12 20:40:42,3,70.66,In Transit,71,Takshila Gems® Natural Mahe Mariyam Stone 7 Carat / 7.78 Ratti Lab Certified Mariam Stone Sang e Mariam Stone,kids' fashion,Kids' Fashion,SKU3404,2024-08-11 16:52:15.787281,,,,,,,,,
1368,685,1760,9.59,1,409,2024-06-09 23:28:09,2,92.36,Shipped,76,SUPER TOY Battery Operated Aeroplane Toy for Kids with Light and Sound - Assorted,toys & baby products,Toys Gifting Store,SKU9872,2024-08-11 16:33:26.695177,,,,,,,,,
1369,685,3478,27.59,3,409,2024-06-09 23:28:09,2,92.36,Shipped,1,BD WEAVES Cotton Tote Bag Plain - Reusable 100% Eco-Friendly- Natural (Pack of 4),stores,Women's Fashion,SKU5669,2024-08-11 16:37:29.775248,,,,,,,,,
1370,686,6714,161.34,2,3728,2024-03-20 21:08:33,2,332.26,In Transit,46,BLACK+DECKER GW3030-GB Variable Speed 3000-Watt Powerful Blower and Suction Vacuum Cleaner with Shredder and 40L bag for H...,appliances,Kitchen & Home Appliances,SKU3325,2024-08-11 16:46:34.394847,,,,,,,,,
1371,686,7401,4.79,2,3728,2024-03-20 21:08:33,2,332.26,In Transit,49,Redclip Ultimate Cable Protector | Spiral Triple Colour 1.5 Meter / 150 cm | Plastic Cord Wire Charger Winder for iPhone a...,tv  audio & cameras,All Electronics,SKU2466,2024-08-11 16:48:12.957557,,,,,,,,,
1372,687,7409,574.71,2,2064,2024-02-25 16:03:51,3,1159.32,Shipped,14,22mm Stainless Steel Watch Bands e Mesh Strap Replacement Metal Wristband with Folding Buckle Adjustable Bracelet Watchban...,toys & baby products,Strollers & Prams,SKU8422,2024-08-11 16:48:14.039687,,,,,,,,,
1373,687,6250,2.1,2,2064,2024-02-25 16:03:51,3,1159.32,Shipped,84,BabyChakra Moisturizing Natural Baby Sunscreen SPF 30+ PA+++ UVA/UVB Protection Non-Sticky & Water-Resistant (60gm),toys & baby products,Baby Products,SKU9338,2024-08-11 16:44:53.430846,,,,,,,,,
1374,687,9977,5.7,1,2064,2024-02-25 16:03:51,3,1159.32,Shipped,99,Skillofun Wooden Large Shapes Tray (Multicolour) for-Kid,toys & baby products,STEM Toys Store,SKU4414,2024-08-11 16:54:14.072978,,,,,,,,,
1375,688,3487,8.39,1,2696,2024-09-19 23:39:00,2,32.38,In Transit,51,Neska Moda 6 To 12 Months Baby Girls Cotton Butterfly Booties (Baby Pink Black) -SK126andBT4,kids' fashion,Kids' Shoes,SKU2542,2024-08-11 16:37:30.981240,,,,,,,,,
1376,688,6000,23.99,1,2696,2024-09-19 23:39:00,2,32.38,In Transit,63,Yellow Chimes Exclusive Collection Stainless Steel Alphabet Letters Statement Silver Cufflinks for Men,accessories,Bags & Luggage,SKU7744,2024-08-11 16:44:08.246623,,,,,,,,,
1377,689,7973,23.88,1,2249,2024-03-21 05:27:47,2,90.12,In Transit,24,Yelloe Women's Messenger Bag,stores,Fashion Sales & Deals,SKU8630,2024-08-11 16:50:00.794096,,,,,,,,,
1378,689,5250,16.56,4,2249,2024-03-21 05:27:47,2,90.12,In Transit,3,Men's Slim Fit Denim Mid Rise Stretchable Jeans (Grey  40)-PID42905,men's clothing,Jeans,SKU1881,2024-08-11 16:41:29.569308,,,,,,,,,
1379,690,8718,2140.1,1,511,2024-01-16 14:43:47,2,2158.09,In Transit,22,Aone Water Level Sensor/Pressure Sensor Suitable for LG Top Loading Washing Machines.(Match & Buy),car & motorbike,Car & Bike Care,SKU4584,2024-08-11 16:51:15.850470,,,,,,,,,
1380,690,7734,17.99,1,511,2024-01-16 14:43:47,2,2158.09,In Transit,88,Xborn Hear in 2 Bluetooth Neckband with Mic,tv  audio & cameras,Headphones,SKU7049,2024-08-11 16:49:23.514987,,,,,,,,,
1381,691,9701,5.99,4,446,2024-05-21 17:43:58,2,52.72,Delivered,65,Swadhin Stainless Steel Self Adhesive Magic Sticker Towel Holder Ring for Bathroom Hand Towel Napkin Hanging Holder Modern...,home & kitchen,Kitchen Storage & Containers,SKU9239,2024-08-11 16:53:14.068067,"I have mixed feelings about the Swadhin Stainless Steel Self Adhesive Magic Sticker Towel Holder Ring for Bathroom Hand Towel Napkin Hanging Holder Modern.... It's decent for the price, but there are some things that could be improved. It works fine, though.",3.0,mixed feeling swadhin stainless steel self adhesive magic sticker towel holder ring bathroom hand towel napkin hanging holder modern decent price thing could improved work fine though,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.8225}",0.0,0.706,0.294,0.8225,4.0
1382,691,3136,7.19,4,446,2024-05-21 17:43:58,2,52.72,Delivered,38,superbottoms Waterproof Reversible Bag (Multipurpose on The go Mini Wetbag/travelbag/Clutch/Makeup Organizer/Cloth Diaper ...,toys & baby products,Diapers,SKU2260,2024-08-11 16:36:44.552218,"I have mixed feelings about the superbottoms Waterproof Reversible Bag (Multipurpose on The go Mini Wetbag/travelbag/Clutch/Makeup Organizer/Cloth Diaper .... It's decent for the price, but there are some things that could be improved. It works fine, though.",3.0,mixed feeling superbottoms waterproof reversible bag multipurpose go mini wetbagtravelbagclutchmakeup organizercloth diaper decent price thing could improved work fine though,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.6597}",0.0,0.726,0.274,0.6597,4.0
1383,692,547,7.79,1,2418,2024-03-07 16:26:44,2,19.77,In Transit,94,Funskool Walk N Drive Plastic Truck  Push And Drive Car  Encourages Walking and Pretend Play  18 Months & Above  Infant An...,toys & baby products,Toys Gifting Store,SKU9615,2024-08-11 16:29:25.304362,,,,,,,,,
1384,692,5296,5.99,2,2418,2024-03-07 16:26:44,2,19.77,In Transit,49,Max Women Kurta,women's clothing,Ethnic Wear,SKU8683,2024-08-11 16:41:40.517264,,,,,,,,,
1385,693,5886,27.48,4,4274,2024-07-04 23:46:53,3,292.26,In Transit,90,Aristrocrat COSMIC 26L Polyester Light blue Backpack,kids' fashion,School Bags,SKU8503,2024-08-11 16:43:45.470857,,,,,,,,,
1386,693,7654,43.19,2,4274,2024-07-04 23:46:53,3,292.26,In Transit,36,Ubersweet® 150cm Infants Baby Stroller Pushchair Cart Mosquito Insect Net Safe Mesh Buggy Crib Netting Baby Car Mosquito M...,toys & baby products,Strollers & Prams,SKU1168,2024-08-11 16:49:19.306101,,,,,,,,,
1387,693,7199,23.99,4,4274,2024-07-04 23:46:53,3,292.26,In Transit,83,Gem Stone Factory Black Tourmaline Rough Stone  1Kg,accessories,Jewellery,SKU8864,2024-08-11 16:47:52.620552,,,,,,,,,
1388,694,6400,4.66,1,645,2024-09-26 14:57:05,1,4.66,In Transit,3,AS Interior PVC Plastic Vinyl Self Adhesive Rangoli Attractive Peel and Stick (Multicolour  23inchx23inch)  Pack of 1,home & kitchen,Home Décor,SKU3546,2024-08-11 16:45:29.192669,,,,,,,,,
1389,695,9070,11.99,2,4953,2024-03-20 20:49:27,3,86.34,In Transit,6,ALMAND (Label 30X30X30 cm Folding Storage Ottoman Cube Footrest Stool Coffee Table Puppy Step Top Organizer Box Pouf Chest...,home & kitchen,Home Storage,SKU3324,2024-08-11 16:51:54.660863,,,,,,,,,
1390,695,2323,15.59,3,4953,2024-03-20 20:49:27,3,86.34,In Transit,24,Lowfe Wireless Bluetooth Earphone with Mic (Black),tv  audio & cameras,Headphones,SKU2099,2024-08-11 16:35:16.942339,,,,,,,,,
1391,695,42,15.59,1,4953,2024-03-20 20:49:27,3,86.34,In Transit,14,10pcs Children Hair Clips Baby Girls Hair Clips Cute Cartoon Hairpins Fully Ribbon Covered Alligator Clip Hair Clips Hair ...,kids' fashion,Kids' Fashion,SKU2825,2024-08-11 16:27:31.520633,,,,,,,,,
1392,696,1889,239.99,3,3804,2024-06-19 08:21:36,1,719.97,Shipped,59,QPT by STARQ 2500W High Pressure Washer 180-250Bar Q5 (Q5 Combo),appliances,Kitchen & Home Appliances,SKU5461,2024-08-11 16:34:18.642790,,,,,,,,,
1393,697,3527,9.59,1,2692,2024-02-09 19:51:30,3,88.75,In Transit,51,SynSo Microfiber Cloth - Pack of 8 High Absorbent Cleaning Cloth; Lint & Streak Free for Kitchen; Bathroom; Furniture; Woo...,industrial supplies,Industrial & Scientific Supplies,SKU9820,2024-08-11 16:37:33.360940,,,,,,,,,
1394,697,3373,14.39,4,2692,2024-02-09 19:51:30,3,88.75,In Transit,23,ITSE Women's Regular Fit T-Shirt,stores,The Designer Boutique,SKU9380,2024-08-11 16:37:15.428185,,,,,,,,,
1395,697,6236,7.2,3,2692,2024-02-09 19:51:30,3,88.75,In Transit,76,Sri Sri Ayurveda Tattva Shakti Drops  10ml (Pack of 5),beauty & health,Diet & Nutrition,SKU2693,2024-08-11 16:44:42.260734,,,,,,,,,
1396,698,905,3.59,1,2400,2024-04-08 02:44:36,1,3.59,Delivered,90,Fabify Beauty Blender Set Makeup Sponge Blending Face Makeup  Foundation Cleaner Puff (Pack of 2),beauty & health,Make-up,SKU7059,2024-08-11 16:30:31.384872,"Had a great experience with the Fabify Beauty Blender Set Makeup Sponge Blending Face Makeup  Foundation Cleaner Puff (Pack of 2), from ordering to delivery, and the product quality is superb. I'm very happy and would highly recommend it!",5.0,great experience fabify beauty blender set makeup sponge blending face makeup foundation cleaner puff pack ordering delivery product quality superb im happy would highly recommend,"{'neg': 0.0, 'neu': 0.485, 'pos': 0.515, 'compound': 0.9647}",0.0,0.485,0.515,0.9647,2.0
1397,699,8882,23.99,4,3150,2024-02-06 08:47:56,1,95.96,Delivered,72,DIVING DEEP Stylish Back Pack For Adult And Student (Pack of 2  5L)(Bag_PK2_1708),kids' fashion,School Bags,SKU3805,2024-08-11 16:51:35.681623,"The DIVING DEEP Stylish Back Pack For Adult And Student (Pack of 2  5L)(Bag_PK2_1708) is average. Not too bad, but also nothing extraordinary. It's functional, but I’m not overly excited about it.",3.0,diving deep stylish back pack adult student pack lbagpk average bad also nothing extraordinary functional im overly excited,"{'neg': 0.158, 'neu': 0.676, 'pos': 0.167, 'compound': -0.2023}",0.158,0.676,0.167,-0.2023,2.0
1398,700,7138,5.33,4,2233,2024-01-24 01:13:18,1,21.32,Shipped,15,JNS with tagline Great experiences with a good opportunity 3.5 mm Hands-Free in Ear Wired Earphone with Mic Compatible for...,tv  audio & cameras,Headphones,SKU5021,2024-08-11 16:47:46.913356,,,,,,,,,
1399,701,4681,32.28,3,3985,2024-04-01 15:24:28,1,96.84,Shipped,55,Mochi Women Synthetic Ballerinas,women's shoes,Ballerinas,SKU4961,2024-08-11 16:40:06.308324,,,,,,,,,
1400,702,6426,4.8,1,786,2024-10-01 21:33:25,1,4.8,Shipped,26,20PCS RM065 1M Ohm Trimpot Trimmer Potentiometer preset MARKING 105,industrial supplies,Test  Measure & Inspect,SKU3334,2024-08-11 16:45:41.417947,,,,,,,,,
1401,703,5757,12.0,2,3433,2024-07-11 12:47:30,2,1082.16,In Transit,76,Oshotto Car Shark Fin Roof Antenna Car Antenna Radio FM/AM Car Decorate Compatible with Honda Brv - (Black),car & motorbike,Car Electronics,SKU5108,2024-08-11 16:43:24.162655,,,,,,,,,
1402,703,3413,529.08,2,3433,2024-07-11 12:47:30,2,1082.16,In Transit,47,Bosch 7 kg 5 Star 1000RPM INVERTER TOUCH CONTROL Fully Automatic Front Load with Heater White(WAJ2006EIN),appliances,Washing Machines,SKU9191,2024-08-11 16:37:18.553906,,,,,,,,,
1403,704,4233,11.99,4,4967,2024-03-24 13:32:27,1,47.96,Delivered,93,Pikkme Samsung Galaxy M30s / M21 / M21 2021 Flip Cover| PU Leather Finish | 360 Protection | Wallet & Stand | Strong Magne...,tv  audio & cameras,All Electronics,SKU9426,2024-08-11 16:39:16.444466,"The Pikkme Samsung Galaxy M30s / M21 / M21 2021 Flip Cover| PU Leather Finish | 360 Protection | Wallet & Stand | Strong Magne... is average. Not too bad, but also nothing extraordinary. It's functional, but I’m not overly excited about it.",3.0,pikkme samsung galaxy m flip cover pu leather finish protection wallet stand strong magne average bad also nothing extraordinary functional im overly excited,"{'neg': 0.191, 'neu': 0.614, 'pos': 0.195, 'compound': 0.0258}",0.191,0.614,0.195,0.0258,2.0
1404,705,1362,11.99,3,1694,2024-10-25 01:19:56,2,45.56,Delivered,73,HEALTH FIT Extra Soft Ortho Care Diabetic & Orthopedic Sandal/Doctor Sandal Footwear with Arch Support Women Brown,stores,Women's Fashion,SKU6907,2024-08-11 16:32:10.901605,"I absolutely loved the HEALTH FIT Extra Soft Ortho Care Diabetic & Orthopedic Sandal/Doctor Sandal Footwear with Arch Support Women Brown, it was even better than I expected. The quality is top-notch, and it's very well-made. Definitely worth every penny!",5.0,absolutely loved health fit extra soft ortho care diabetic orthopedic sandaldoctor sandal footwear arch support woman brown even better expected quality topnotch wellmade definitely worth every penny,"{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.9604}",0.0,0.496,0.504,0.9604,1.0
1405,705,4663,9.59,1,1694,2024-10-25 01:19:56,2,45.56,Delivered,45,Pmw - Oxalic Acid Powder - Tile - Floor - Granite Cleaner - Loose Packed - 1 Kilo,beauty & health,Household Supplies,SKU9614,2024-08-11 16:40:05.276504,"I have mixed feelings about the Pmw - Oxalic Acid Powder - Tile - Floor - Granite Cleaner - Loose Packed - 1 Kilo. It's decent for the price, but there are some things that could be improved. It works fine, though.",3.0,mixed feeling pmw oxalic acid powder tile floor granite cleaner loose packed kilo decent price thing could improved work fine though,"{'neg': 0.087, 'neu': 0.606, 'pos': 0.307, 'compound': 0.5859}",0.087,0.606,0.307,0.5859,4.0
1406,706,683,14.39,4,3335,2024-05-10 13:01:33,3,127.84,Shipped,4,STYLE SHOES Genuine Leather Black Business Card Holder || Pocket Wallet for Men & Women-351IA12,bags & luggage,Wallets,SKU1215,2024-08-11 16:29:40.015971,,,,,,,,,
1407,706,697,15.59,4,3335,2024-05-10 13:01:33,3,127.84,Shipped,39,ABOUT SPACE Wooden Mannequin Hand Model - 7 Inch Left Hand Sculpture-Flexible Wooden Manikin Hand Display for Drawing  Ske...,home & kitchen,Home Décor,SKU9362,2024-08-11 16:29:41.778645,,,,,,,,,
1408,706,7035,7.92,1,3335,2024-05-10 13:01:33,3,127.84,Shipped,93,Groviva Wholesome Child Nutrition for Growth & Development - 400g Jar (Mango),grocery & gourmet foods,All Grocery & Gourmet Foods,SKU9017,2024-08-11 16:47:26.355683,,,,,,,,,
1409,707,6178,23.99,3,3838,2024-10-27 21:10:47,1,71.97,In Transit,11,Sakwoods Combo of Kids School Bags-PINK,kids' fashion,School Bags,SKU8643,2024-08-11 16:44:36.108039,,,,,,,,,
1410,708,9166,9.59,2,4176,2024-08-26 16:26:15,2,28.53,Delivered,69,Zerfa Wire Clips  Cable Protector Clips  Desktop Cord Organizer  Multipurpose Silicone Adhesive Cord Hooks for TV  Home  O...,home & kitchen,Home Improvement,SKU8411,2024-08-11 16:52:15.927927,"I have mixed feelings about the Zerfa Wire Clips  Cable Protector Clips  Desktop Cord Organizer  Multipurpose Silicone Adhesive Cord Hooks for TV  Home  O.... It's decent for the price, but there are some things that could be improved. It works fine, though.",3.0,mixed feeling zerfa wire clip cable protector clip desktop cord organizer multipurpose silicone adhesive cord hook tv home decent price thing could improved work fine though,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.6597}",0.0,0.782,0.218,0.6597,4.0
1411,708,2003,9.35,1,4176,2024-08-26 16:26:15,2,28.53,Delivered,17,Patch & Marshall Heavy Weight Dog Leash Heavy Duty Dog Chain with Hook (XX Large-Size  Grind no 8) (L: 5 feet Link : 1inc...,pet supplies,Dog supplies,SKU3726,2024-08-11 16:34:26.545428,"Very satisfied with the Patch & Marshall Heavy Weight Dog Leash Heavy Duty Dog Chain with Hook (XX Large-Size  Grind no 8) (L: 5 feet Link : 1inc.... It exceeded my expectations in every way. High quality and durable, I’m extremely pleased with the performance!",5.0,satisfied patch marshall heavy weight dog leash heavy duty dog chain hook xx largesize grind l foot link inc exceeded expectation every way high quality durable im extremely pleased performance,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7178}",0.0,0.818,0.182,0.7178,2.0
1412,709,7326,7.19,1,206,2024-11-25 09:41:20,2,19.18,Shipped,79,3AN Telecom RF RG316 Pigtail RP-SMA Female Antenna Connector to MMCX Male Low Loss Coaxial Cable Adapter Right Angle (4 in...,tv  audio & cameras,Home Entertainment Systems,SKU4620,2024-08-11 16:48:06.202844,,,,,,,,,
1413,709,5869,11.99,1,206,2024-11-25 09:41:20,2,19.18,Shipped,71,Einstein Box Featuring Disney for 4-5-6 Year Old Boys/Girls | Disney Gift Toys for Kids | Learning and Educational Toys  G...,toys & baby products,Toys Gifting Store,SKU9532,2024-08-11 16:43:43.652022,,,,,,,,,
1414,710,4612,13.19,3,3030,2024-02-18 19:02:05,1,39.57,Delivered,89,Nelle Harper NHWAK183 Women's Western (Light Purple) -one Size (NHWAK218),bags & luggage,Wallets,SKU7306,2024-08-11 16:40:01.773884,"The Nelle Harper NHWAK183 Women's Western (Light Purple) -one Size (NHWAK218) is fine for everyday use. It's not exceptional, but it gets the job done. I don't feel strongly about it either way.",3.0,nelle harper nhwak womens western light purple one size nhwak fine everyday use exceptional get job done dont feel strongly either way,"{'neg': 0.077, 'neu': 0.847, 'pos': 0.076, 'compound': -0.0036}",0.077,0.847,0.076,-0.0036,3.0
1415,711,7977,21.36,1,4572,2024-11-12 04:22:27,1,21.36,Shipped,11,Hush Standard Pillow | Softex Fiber Filling | Medium Soft Feel The Zero Headache Polyester Bed Pillow  - Set of 2 Pillows...,home & kitchen,Home Furnishing,SKU8524,2024-08-11 16:50:01.332697,,,,,,,,,
1416,712,118,50.4,4,915,2024-06-08 22:04:21,2,226.05,Shipped,74,ARGLabs Digital Turbidity Meter  15X4X4 Cm,industrial supplies,Test  Measure & Inspect,SKU5533,2024-08-11 16:27:37.123406,,,,,,,,,
1417,712,5749,8.15,3,915,2024-06-08 22:04:21,2,226.05,Shipped,98,Van Heusen Proactive Women Sports Bra - Cotton Elastane - Anti Bacterial  Wireless  Non Padded  Full Coverage,sports & fitness,All Exercise & Fitness,SKU1180,2024-08-11 16:43:23.545310,,,,,,,,,
1418,713,948,5.82,4,1804,2024-06-11 10:57:21,1,23.28,Shipped,35,Gala No Dust Broom 2 in 1: Extendable Handle with Dustpan and Brush Combo (Multipurpose Floor & Ceiling Cleaning Broom Set),industrial supplies,Janitorial & Sanitation Supplies,SKU3825,2024-08-11 16:30:34.409695,,,,,,,,,
1419,714,6298,19.19,1,507,2024-11-11 20:08:12,1,19.19,Shipped,61,Shopnet Wireless Bluetooth Speaker TG113 For Nokia 6555 Ultra Boost Bass with DJ Sound Portable Home Speaker with Audio Li...,tv  audio & cameras,Speakers,SKU4772,2024-08-11 16:44:57.877638,,,,,,,,,
1420,715,4877,10.79,1,1412,2024-08-10 02:10:11,2,153.83,In Transit,56,Pets Empire Anti-Spill Waterhole Small Animal Dog Dishes and Bowl Car Travel Pet Dog Cat Water Bowl 1 Piece - Color May Vary,pet supplies,Dog supplies,SKU9107,2024-08-11 16:40:26.528040,,,,,,,,,
1421,715,9397,35.76,4,1412,2024-08-10 02:10:11,2,153.83,In Transit,83,F Gear Platoon Black 46 Ltrs Rucksack (3371)  One Size,accessories,Bags & Luggage,SKU4425,2024-08-11 16:52:31.033250,,,,,,,,,
1422,716,7063,17.99,2,3273,2024-09-22 18:03:18,2,69.54,In Transit,52,dlotoy Ghost Shadow Light Compatible For H-onda Cars | Door Welcome Light | Car Logo LED | Door Projector LED,car & motorbike,Car Parts,SKU3356,2024-08-11 16:47:29.162877,,,,,,,,,
1423,716,5171,8.39,4,3273,2024-09-22 18:03:18,2,69.54,In Transit,6,KushJay Digital Unisex-Child Watch (Multicolored Dial  Multicolored Strap),kids' fashion,Kids' Watches,SKU9948,2024-08-11 16:41:15.775417,,,,,,,,,
1424,717,5146,1.08,3,2103,2024-01-29 07:16:10,1,3.24,In Transit,58,Divya Sarivadi Vati (160 Tablets),beauty & health,Diet & Nutrition,SKU4018,2024-08-11 16:41:14.227555,,,,,,,,,
1425,718,8960,11.99,1,1411,2024-04-10 16:11:25,2,34.13,Delivered,74,KR Dhama Fashionable Sweat Shirt Hoodie for Men & Women,sports & fitness,Yoga,SKU7126,2024-08-11 16:51:40.335750,"I absolutely loved the KR Dhama Fashionable Sweat Shirt Hoodie for Men & Women, it was even better than I expected. The quality is top-notch, and it's very well-made. Definitely worth every penny!",5.0,absolutely loved kr dhama fashionable sweat shirt hoodie men woman even better expected quality topnotch wellmade definitely worth every penny,"{'neg': 0.0, 'neu': 0.578, 'pos': 0.422, 'compound': 0.8932}",0.0,0.578,0.422,0.8932,1.0
1426,718,6474,7.38,3,1411,2024-04-10 16:11:25,2,34.13,Delivered,15,Shelfkey.com ALUMINIUM ELECTROLYTIC CAPACITOR 680UF 250V (355-C) SK-680uF/250V (Pack of 3),car & motorbike,Car Electronics,SKU2377,2024-08-11 16:45:45.122220,"Had a great experience with the Shelfkey.com ALUMINIUM ELECTROLYTIC CAPACITOR 680UF 250V (355-C) SK-680uF/250V (Pack of 3), from ordering to delivery, and the product quality is superb. I'm very happy and would highly recommend it!",5.0,great experience shelfkeycom aluminium electrolytic capacitor uf v c skufv pack ordering delivery product quality superb im happy would highly recommend,"{'neg': 0.0, 'neu': 0.505, 'pos': 0.495, 'compound': 0.9402}",0.0,0.505,0.495,0.9402,2.0
1427,719,4675,5.99,4,4894,2024-07-08 11:18:50,2,28.75,Delivered,58,Pril Perfect Dishwash Liquid  2 Liter Bottle  (Green),beauty & health,Household Supplies,SKU7389,2024-08-11 16:40:05.860521,"I was really disappointed with the Pril Perfect Dishwash Liquid  2 Liter Bottle  (Green). The quality was poor, and it didn't meet any of my expectations. I wouldn't recommend it to anyone.",1.0,really disappointed pril perfect dishwash liquid liter bottle green quality poor didnt meet expectation wouldnt recommend anyone,"{'neg': 0.336, 'neu': 0.508, 'pos': 0.155, 'compound': -0.5631}",0.336,0.508,0.155,-0.5631,0.0
1428,719,5815,4.79,1,4894,2024-07-08 11:18:50,2,28.75,Delivered,82,Mummas Love Multipurpose Car Sponge Car Cleaning Scratch Free | Duster | Car Cleaning Accessories | Microfiber | Brushes |...,car & motorbike,Car & Bike Care,SKU6184,2024-08-11 16:43:29.634484,"I was really disappointed with the Mummas Love Multipurpose Car Sponge Car Cleaning Scratch Free | Duster | Car Cleaning Accessories | Microfiber | Brushes |.... The quality was poor, and it didn't meet any of my expectations. I wouldn't recommend it to anyone.",1.0,really disappointed mummas love multipurpose car sponge car cleaning scratch free duster car cleaning accessory microfiber brush quality poor didnt meet expectation wouldnt recommend anyone,"{'neg': 0.237, 'neu': 0.55, 'pos': 0.213, 'compound': 0.0415}",0.237,0.55,0.213,0.0415,0.0
1429,720,4618,12.6,2,2273,2024-02-26 10:49:26,3,100.76,In Transit,94,SanDisk 32GB High Endurance Video MicroSDHC Card with Adapter for Dash Cam and Home Monitoring Surveillance Systems - C10 ...,tv  audio & cameras,Cameras,SKU7059,2024-08-11 16:40:02.066175,,,,,,,,,
1430,720,6659,16.79,2,2273,2024-02-26 10:49:26,3,100.76,In Transit,29,ABOUT SPACE Drawing Kit - 26 Pcs Professional Sketch & Drawing Tool Kit with Pencil Case - Includes Graphite & Charcoal Pe...,home & kitchen,Sewing & Craft Supplies,SKU9282,2024-08-11 16:46:18.292616,,,,,,,,,
1431,720,7369,20.99,2,2273,2024-02-26 10:49:26,3,100.76,In Transit,4,Pampers Active Baby Taped Diapers  Large size diapers  (LG) 78 count  taped style custom fit,beauty & health,Value Bazaar,SKU9528,2024-08-11 16:48:09.498707,,,,,,,,,
1432,721,9147,590.22,1,3595,2024-09-23 03:54:40,1,590.22,Shipped,46,MobIR Air Infrared Thermal Imager Mini Pocket Size Portable Smartphone IR Thermal Camera 120x90 IR Resolution-20~120℃ Temp...,tv  audio & cameras,Security Cameras,SKU3273,2024-08-11 16:52:07.493330,,,,,,,,,
